survey,question_concept_id,question,answer_concept_id,answer
COVID-19 Participant Experience (COPE) Survey,596884,Did you receive the COVID-19 vaccination?,596883,Not sure
COVID-19 Participant Experience (COPE) Survey,596884,Did you receive the COVID-19 vaccination?,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,596884,Did you receive the COVID-19 vaccination?,1332768,No
COVID-19 Participant Experience (COPE) Survey,596884,Did you receive the COVID-19 vaccination?,1332898,Yes
COVID-19 Participant Experience (COPE) Survey,596885,How many doses of the vaccine did you receive?,596877,1
COVID-19 Participant Experience (COPE) Survey,596885,How many doses of the vaccine did you receive?,596881,2
COVID-19 Participant Experience (COPE) Survey,596885,How many doses of the vaccine did you receive?,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,596888,Which vaccine did you receive?,596880,Pfizer (Pfizer-BioNTech)
COVID-19 Participant Experience (COPE) Survey,596888,Which vaccine did you receive?,596882,Moderna
COVID-19 Participant Experience (COPE) Survey,596888,Which vaccine did you receive?,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,596888,Which vaccine did you receive?,903640,Other
COVID-19 Participant Experience (COPE) Survey,596888,Which vaccine did you receive?,1332844,Not sure
COVID-19 Participant Experience (COPE) Survey,713888,When did your COVID-19 symptoms begin?,713887,"Yes, but not at home"
COVID-19 Participant Experience (COPE) Survey,713888,When did your COVID-19 symptoms begin?,836874,November or December 2020
COVID-19 Participant Experience (COPE) Survey,713888,When did your COVID-19 symptoms begin?,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,713888,When did your COVID-19 symptoms begin?,1310107,January or February 2020
COVID-19 Participant Experience (COPE) Survey,713888,When did your COVID-19 symptoms begin?,1310108,July or August 2020
COVID-19 Participant Experience (COPE) Survey,713888,When did your COVID-19 symptoms begin?,1310109,March or April 2020
COVID-19 Participant Experience (COPE) Survey,713888,When did your COVID-19 symptoms begin?,1310110,May or June 2020
COVID-19 Participant Experience (COPE) Survey,713888,When did your COVID-19 symptoms begin?,1310118,September or October 2020
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,0,No matching concept
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,4
